Timestamp,PID,ProcName,LocalPort,RemoteAddress,RemotePort,State
2026-07-18T10:09:39.6796429+02:00,37060,node,49241,::,0,Bound
2026-07-18T10:09:39.7118227+02:00,37060,node,49240,::,0,Bound
2026-07-18T10:09:39.7221385+02:00,37060,node,49239,::,0,Bound
2026-07-18T10:09:39.7306229+02:00,37060,node,49238,::,0,Bound
2026-07-18T10:09:39.7386777+02:00,37060,node,49237,::,0,Bound
2026-07-18T10:09:39.7471949+02:00,37060,node,49241,::1,6379,Established
2026-07-18T10:09:39.7567922+02:00,37060,node,49240,::1,6379,Established
2026-07-18T10:09:39.7663138+02:00,37060,node,49239,::1,6379,Established
2026-07-18T10:09:39.7754880+02:00,37060,node,49238,::1,6379,Established
2026-07-18T10:09:39.7829084+02:00,37060,node,49237,::1,6379,Established
2026-07-18T10:09:39.7915633+02:00,37060,node,59451,0.0.0.0,0,Bound
2026-07-18T10:09:39.7993973+02:00,37060,node,59451,127.0.0.1,7687,Established
2026-07-18T10:09:40.0267017+02:00,41240,node,63579,::,0,Bound
2026-07-18T10:09:40.0286957+02:00,41240,node,59439,::,0,Bound
2026-07-18T10:09:40.0398816+02:00,41240,node,59134,::,0,Bound
2026-07-18T10:09:40.0875525+02:00,41240,node,54237,::,0,Bound
2026-07-18T10:09:40.0972950+02:00,41240,node,50511,::,0,Bound
2026-07-18T10:09:40.1066606+02:00,41240,node,63579,::1,6379,Established
2026-07-18T10:09:40.1179868+02:00,41240,node,59439,::1,6379,Established
2026-07-18T10:09:40.1276433+02:00,41240,node,59134,::1,6379,Established
2026-07-18T10:09:40.1368039+02:00,41240,node,54237,::1,6379,Established
2026-07-18T10:09:40.1471904+02:00,41240,node,50511,::1,9000,Established
2026-07-18T10:09:40.1573106+02:00,41240,node,3002,::,0,Listen
2026-07-18T10:09:40.1664539+02:00,41240,node,58038,0.0.0.0,0,Bound
2026-07-18T10:09:40.1759603+02:00,41240,node,53278,0.0.0.0,0,Bound
2026-07-18T10:09:40.1845930+02:00,41240,node,53275,0.0.0.0,0,Bound
2026-07-18T10:09:40.1947675+02:00,41240,node,50172,0.0.0.0,0,Bound
2026-07-18T10:09:40.2047994+02:00,41240,node,50166,0.0.0.0,0,Bound
2026-07-18T10:09:40.2128311+02:00,41240,node,58038,127.0.0.1,7687,Established
2026-07-18T10:09:40.2223587+02:00,41240,node,53278,127.0.0.1,5432,Established
2026-07-18T10:09:40.2311793+02:00,41240,node,53275,127.0.0.1,5432,Established
2026-07-18T10:09:40.2395868+02:00,41240,node,51742,127.0.0.1,51743,Established
2026-07-18T10:09:40.2470810+02:00,41240,node,51742,0.0.0.0,0,Listen
2026-07-18T10:09:40.2603413+02:00,41240,node,50172,127.0.0.1,7687,Established
2026-07-18T10:09:40.2695653+02:00,41240,node,50166,127.0.0.1,7687,Established
2026-07-18T10:09:55.5136277+02:00,37060,node,49241,::,0,Bound
2026-07-18T10:09:55.5152273+02:00,37060,node,49240,::,0,Bound
2026-07-18T10:09:55.5257581+02:00,37060,node,49239,::,0,Bound
2026-07-18T10:09:55.5377141+02:00,37060,node,49238,::,0,Bound
2026-07-18T10:09:55.5469615+02:00,37060,node,49237,::,0,Bound
2026-07-18T10:09:55.5565611+02:00,37060,node,49241,::1,6379,Established
2026-07-18T10:09:55.5657452+02:00,37060,node,49240,::1,6379,Established
2026-07-18T10:09:55.5743344+02:00,37060,node,49239,::1,6379,Established
2026-07-18T10:09:55.5844572+02:00,37060,node,49238,::1,6379,Established
2026-07-18T10:09:55.5956207+02:00,37060,node,49237,::1,6379,Established
2026-07-18T10:09:55.6056525+02:00,37060,node,59451,0.0.0.0,0,Bound
2026-07-18T10:09:55.6204392+02:00,37060,node,59451,127.0.0.1,7687,Established
